timestamp,region,time_ms,mem_before_mb,mem_after_mb,mem_delta_mb,peak_mb
2026-02-10T09:52:29.016590,env_Node0,9.06,8.54,9.06,0.52,11.04
2026-02-10T09:52:29.021206,forward_Node0,0.02,9.06,9.06,0.0,9.07
2026-02-10T09:52:29.059034,loss_derivs_Node0,35.47,9.06,9.07,0.01,9.08
2026-02-10T09:52:29.060303,grad_contract_Node0,0.74,9.07,9.59,0.52,9.59
2026-02-10T09:52:29.061096,hess_tn_build_Node0,0.1,9.59,9.59,0.0,9.59
2026-02-10T09:52:29.062168,hess_contract_Node0,0.61,9.59,9.72,0.13,10.75
2026-02-10T09:52:29.063969,env_Node0,1.04,9.2,9.71,0.52,11.69
2026-02-10T09:52:29.064716,forward_Node0,0.26,9.71,9.72,0.0,9.72
2026-02-10T09:52:29.066188,loss_derivs_Node0,0.81,9.72,9.73,0.01,9.74
2026-02-10T09:52:29.066894,grad_contract_Node0,0.28,9.73,10.24,0.52,10.24
2026-02-10T09:52:29.067451,hess_tn_build_Node0,0.1,10.24,10.24,0.0,10.24
2026-02-10T09:52:29.068176,hess_contract_Node0,0.29,10.24,10.38,0.13,11.41
2026-02-10T09:52:29.069920,env_Node0,0.91,9.85,10.37,0.52,12.35
2026-02-10T09:52:29.070661,forward_Node0,0.25,10.37,10.37,0.0,10.38
2026-02-10T09:52:29.072077,loss_derivs_Node0,0.71,10.37,10.38,0.01,10.39
2026-02-10T09:52:29.072762,grad_contract_Node0,0.27,10.38,10.9,0.52,10.9
2026-02-10T09:52:29.073298,hess_tn_build_Node0,0.09,10.9,10.9,0.0,10.9
2026-02-10T09:52:29.074013,hess_contract_Node0,0.28,10.9,11.03,0.13,12.06
2026-02-10T09:52:29.075486,env_Node0,0.75,10.37,10.89,0.52,12.87
2026-02-10T09:52:29.076216,forward_Node0,0.25,10.89,10.89,0.0,10.9
2026-02-10T09:52:29.077708,loss_derivs_Node0,0.72,10.89,10.9,0.01,10.91
2026-02-10T09:52:29.078416,grad_contract_Node0,0.28,10.9,11.42,0.52,11.42
2026-02-10T09:52:29.078952,hess_tn_build_Node0,0.08,11.42,11.42,0.0,11.42
2026-02-10T09:52:29.079647,hess_contract_Node0,0.28,11.42,11.55,0.13,12.58
2026-02-10T09:52:29.081250,env_Node0,0.89,10.89,11.41,0.52,13.39
2026-02-10T09:52:29.081940,forward_Node0,0.24,11.41,11.41,0.0,11.42
2026-02-10T09:52:29.083090,loss_derivs_Node0,0.7,11.41,11.42,0.01,11.43
2026-02-10T09:52:29.084155,grad_contract_Node0,0.27,11.42,11.94,0.52,11.94
2026-02-10T09:52:29.084697,hess_tn_build_Node0,0.09,11.94,11.94,0.0,11.94
2026-02-10T09:52:29.085396,hess_contract_Node0,0.29,11.94,12.07,0.13,13.1
2026-02-10T09:52:29.087191,env_Node0,1.09,11.41,11.78,0.37,13.18
2026-02-10T09:52:29.087992,forward_Node0,0.34,11.78,11.78,0.0,11.78
2026-02-10T09:52:29.089102,loss_derivs_Node0,0.67,11.78,11.79,0.01,11.8
2026-02-10T09:52:29.089885,grad_contract_Node0,0.35,11.79,12.16,0.37,12.16
2026-02-10T09:52:29.090771,hess_tn_build_Node0,0.42,12.16,12.16,0.0,12.16
2026-02-10T09:52:29.091715,hess_contract_Node0,0.51,12.16,12.29,0.13,13.02
2026-02-10T09:52:29.092146,compute_H_b_Node0,84.87,8.54,11.65,3.1,13.02
