run_id,trainer_type,dataset,model,L,bond_dim,ridge,init_strength,reduction_factor,seed,success,singular,oom_error,val_quality,train_quality,best_epoch,output_path,timestamp
ntn_mushrooms_TNML_P_L3_bd4_rg5_init0.1_s42_rf1,ntn,mushrooms,TNML_P,3,4,5,0.1,,42,False,True,False,,,-1,outputs/ntn/mushrooms/TNML_P_rg5_init0.1/L3_bd4_seed42,2026-04-24T08:10:38
ntn_mushrooms_TNML_P_L3_bd4_rg5_init0.1_s32874_rf1,ntn,mushrooms,TNML_P,3,4,5,0.1,,32874,False,True,False,,,-1,outputs/ntn/mushrooms/TNML_P_rg5_init0.1/L3_bd4_seed32874,2026-04-24T08:10:50
ntn_mushrooms_TNML_P_L3_bd4_rg5_init0.1_s10090_rf1,ntn,mushrooms,TNML_P,3,4,5,0.1,,10090,False,True,False,,,-1,outputs/ntn/mushrooms/TNML_P_rg5_init0.1/L3_bd4_seed10090,2026-04-24T08:10:43
ntn_mushrooms_CPDATypeI_L3_bd16_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,3,16,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd16_seed47311,2026-04-27T17:08:21
ntn_mushrooms_CPDATypeI_L3_bd16_rg5_init0.1_s47303_rf1,ntn,mushrooms,CPDATypeI,3,16,5,0.1,,47303,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd16_seed47303,2026-04-27T17:08:25
ntn_mushrooms_CPDATypeI_L4_bd8_rg5_init0.1_s42_rf1,ntn,mushrooms,CPDATypeI,4,8,5,0.1,,42,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd8_seed42,2026-04-27T17:08:51
ntn_mushrooms_CPDATypeI_L4_bd16_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,4,16,5,0.1,,32874,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd16_seed32874,2026-04-27T17:09:08
ntn_mushrooms_CPDATypeI_L4_bd32_rg5_init0.1_s42_rf1,ntn,mushrooms,CPDATypeI,4,32,5,0.1,,42,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd32_seed42,2026-04-27T17:09:17
ntn_mushrooms_CPDATypeI_L4_bd32_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,4,32,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd32_seed47311,2026-04-27T17:09:23
ntn_mushrooms_CPDATypeI_L4_bd64_rg5_init0.1_s47303_rf1,ntn,mushrooms,CPDATypeI,4,64,5,0.1,,47303,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd64_seed47303,2026-04-27T17:09:36
ntn_mushrooms_CPDATypeI_L4_bd64_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,4,64,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd64_seed47311,2026-04-27T17:09:34
ntn_mushrooms_CPDATypeI_L3_bd32_rg5_init0.1_s10090_rf1,ntn,mushrooms,CPDATypeI,3,32,5,0.1,,10090,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd32_seed10090,2026-04-27T17:08:29
ntn_mushrooms_CPDATypeI_L3_bd8_rg5_init0.1_s47303_rf1,ntn,mushrooms,CPDATypeI,3,8,5,0.1,,47303,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd8_seed47303,2026-04-27T17:08:13
ntn_mushrooms_CPDATypeI_L4_bd64_rg5_init0.1_s42_rf1,ntn,mushrooms,CPDATypeI,4,64,5,0.1,,42,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd64_seed42,2026-04-27T17:09:28
ntn_mushrooms_CPDATypeI_L4_bd16_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,4,16,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd16_seed47311,2026-04-27T17:09:12
ntn_mushrooms_CPDATypeI_L3_bd8_rg5_init0.1_s10090_rf1,ntn,mushrooms,CPDATypeI,3,8,5,0.1,,10090,True,False,False,0.9909762100082035,0.9945480126626802,3,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd8_seed10090,2026-04-30T10:28:27
ntn_mushrooms_CPDATypeI_L4_bd64_rg5_init0.1_s10090_rf1,ntn,mushrooms,CPDATypeI,4,64,5,0.1,,10090,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd64_seed10090,2026-04-27T17:09:30
ntn_mushrooms_CPDATypeI_L4_bd64_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,4,64,5,0.1,,32874,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd64_seed32874,2026-04-27T17:09:32
ntn_mushrooms_CPDATypeI_L4_bd8_rg5_init0.1_s10090_rf1,ntn,mushrooms,CPDATypeI,4,8,5,0.1,,10090,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd8_seed10090,2026-04-27T17:08:54
ntn_mushrooms_CPDATypeI_L3_bd32_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,3,32,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd32_seed47311,2026-04-27T17:08:33
ntn_mushrooms_CPDATypeI_L3_bd8_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,3,8,5,0.1,,32874,False,False,True,0.9909762100082035,0.9945480126626802,2,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd8_seed32874,2026-04-27T17:08:08
ntn_mushrooms_CPDATypeI_L4_bd8_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,4,8,5,0.1,,32874,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd8_seed32874,2026-04-27T17:08:57
ntn_mushrooms_CPDATypeI_L4_bd16_rg5_init0.1_s10090_rf1,ntn,mushrooms,CPDATypeI,4,16,5,0.1,,10090,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd16_seed10090,2026-04-27T17:09:06
ntn_mushrooms_CPDATypeI_L4_bd32_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,4,32,5,0.1,,32874,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd32_seed32874,2026-04-27T17:09:21
ntn_mushrooms_CPDATypeI_L4_bd32_rg5_init0.1_s10090_rf1,ntn,mushrooms,CPDATypeI,4,32,5,0.1,,10090,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd32_seed10090,2026-04-27T17:09:19
ntn_mushrooms_CPDATypeI_L3_bd64_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,3,64,5,0.1,,32874,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd64_seed32874,2026-04-27T17:08:44
ntn_mushrooms_CPDATypeI_L4_bd16_rg5_init0.1_s42_rf1,ntn,mushrooms,CPDATypeI,4,16,5,0.1,,42,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd16_seed42,2026-04-27T17:09:03
ntn_mushrooms_CPDATypeI_L3_bd64_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,3,64,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd64_seed47311,2026-04-27T17:08:46
ntn_mushrooms_CPDATypeI_L4_bd16_rg5_init0.1_s47303_rf1,ntn,mushrooms,CPDATypeI,4,16,5,0.1,,47303,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L4_bd16_seed47303,2026-04-27T17:09:14
ntn_mushrooms_CPDATypeI_L3_bd32_rg5_init0.1_s32874_rf1,ntn,mushrooms,CPDATypeI,3,32,5,0.1,,32874,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd32_seed32874,2026-04-27T17:08:31
ntn_mushrooms_CPDATypeI_L3_bd64_rg5_init0.1_s47303_rf1,ntn,mushrooms,CPDATypeI,3,64,5,0.1,,47303,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd64_seed47303,2026-04-27T17:08:48
ntn_mushrooms_CPDATypeI_L3_bd32_rg5_init0.1_s42_rf1,ntn,mushrooms,CPDATypeI,3,32,5,0.1,,42,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd32_seed42,2026-04-27T17:08:27
ntn_mushrooms_CPDATypeI_L3_bd16_rg5_init0.1_s42_rf1,ntn,mushrooms,CPDATypeI,3,16,5,0.1,,42,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd16_seed42,2026-04-27T17:08:15
ntn_mushrooms_CPDATypeI_L3_bd8_rg5_init0.1_s47311_rf1,ntn,mushrooms,CPDATypeI,3,8,5,0.1,,47311,False,False,True,,,-1,outputs/ntn/mushrooms/CPDATypeI_rg5_init0.1/L3_bd8_seed47311,2026-04-27T17:08:10
